x,t=15s,t=30s,t=60s,t=90s,t=150s,t=210s
0.001348,42.3698,49.4372,55.1842,56.8091,57.3985,57.4456
0.001352,42.3668,49.4343,55.1813,56.8062,57.3956,57.4427
0.001356,42.3639,49.4313,55.1784,56.8033,57.3926,57.4398
0.00136,42.361,49.4284,55.1754,56.8004,57.3897,57.4368
0.001364,42.3581,49.4255,55.1725,56.7975,57.3868,57.4339
0.001368,42.3552,49.4226,55.1696,56.7946,57.3839,57.431
0.001372,42.3523,49.4197,55.1667,56.7916,57.381,57.4281
0.001376,42.3494,49.4168,55.1638,56.7887,57.3781,57.4252
0.00138,42.3465,49.4139,55.1609,56.7858,57.3752,57.4223
0.001384,42.3436,49.411,55.158,56.7829,57.3723,57.4194
0.001388,42.3406,49.4081,55.1551,56.78,57.3694,57.4165
0.001392,42.3377,49.4051,55.1521,56.7771,57.3664,57.4136
0.001396,42.3348,49.4022,55.1492,56.7742,57.3635,57.4106
0.0014,42.3319,49.3993,55.1463,56.7713,57.3606,57.4077
0.001404,42.329,49.3964,55.1434,56.7684,57.3577,57.4048
0.001408,42.3261,49.3935,55.1405,56.7655,57.3548,57.4019
0.001412,42.3232,49.3906,55.1376,56.7625,57.3519,57.399
0.001416,42.3203,49.3877,55.1347,56.7596,57.349,57.3961
0.00142,42.3174,49.3848,55.1318,56.7567,57.3461,57.3932
0.001424,42.3145,49.3819,55.1289,56.7538,57.3432,57.3903
0.001428,42.3116,49.379,55.126,56.7509,57.3403,57.3874
0.001432,42.3087,49.3761,55.1231,56.748,57.3374,57.3845
0.001436,42.3058,49.3732,55.1202,56.7451,57.3345,57.3816
0.00144,42.3028,49.3703,55.1173,56.7422,57.3315,57.3787
0.001444,42.2999,49.3673,55.1144,56.7393,57.3286,57.3758
0.001448,42.297,49.3644,55.1114,56.7364,57.3257,57.3729
0.001452,42.2941,49.3615,55.1085,56.7335,57.3228,57.37
0.001456,42.2912,49.3586,55.1056,56.7306,57.3199,57.367
0.00146,42.2883,49.3557,55.1027,56.7277,57.317,57.3641
0.001464,42.2854,49.3528,55.0998,56.7248,57.3141,57.3612
0.001468,42.2825,49.3499,55.0969,56.7219,57.3112,57.3583
0.001472,42.2796,49.347,55.094,56.719,57.3083,57.3554
0.001476,42.2767,49.3441,55.0911,56.7161,57.3054,57.3525
0.00148,42.2738,49.3412,55.0882,56.7132,57.3025,57.3496
0.001484,42.2709,49.3383,55.0853,56.7103,57.2996,57.3467
0.001488,42.268,49.3354,55.0824,56.7074,57.2967,57.3438
0.001492,42.2651,49.3325,55.0795,56.7045,57.2938,57.3409
0.001496,42.2622,49.3296,55.0766,56.7016,57.2909,57.338
0.0015,42.2593,49.3267,55.0737,56.6987,57.288,57.3351
0.001504,42.2564,49.3238,55.0708,56.6958,57.2851,57.3322
0.001508,42.2535,49.3209,55.0679,56.6929,57.2822,57.3293
0.001512,42.2506,49.318,55.065,56.69,57.2793,57.3264
0.001516,42.2477,49.3151,55.0621,56.6871,57.2764,57.3235
0.00152,42.2448,49.3122,55.0592,56.6842,57.2735,57.3206
0.001524,42.2419,49.3093,55.0563,56.6813,57.2706,57.3177
0.001528,42.239,49.3064,55.0534,56.6784,57.2677,57.3148
0.001532,42.2361,49.3035,55.0505,56.6755,57.2648,57.312
0.001536,42.2332,49.3006,55.0476,56.6726,57.2619,57.3091
0.00154,42.2304,49.2977,55.0448,56.6697,57.259,57.3062
0.001544,42.2275,49.2948,55.0419,56.6668,57.2561,57.3033
0.001548,42.2246,49.292,55.039,56.6639,57.2533,57.3004
0.001552,42.2217,49.2891,55.0361,56.661,57.2504,57.2975
0.001556,42.2188,49.2862,55.0332,56.6581,57.2475,57.2946
0.00156,42.2159,49.2833,55.0303,56.6552,57.2446,57.2917
0.001564,42.213,49.2804,55.0274,56.6523,57.2417,57.2888
0.001568,42.2101,49.2775,55.0245,56.6494,57.2388,57.2859
0.001572,42.2072,49.2746,55.0216,56.6465,57.2359,57.283
0.001576,42.2043,49.2717,55.0187,56.6436,57.233,57.2801
0.00158,42.2014,49.2688,55.0158,56.6408,57.2301,57.2772
0.001584,42.1985,49.2659,55.0129,56.6379,57.2272,57.2743
0.001588,42.1956,49.263,55.01,56.635,57.2243,57.2714
0.001592,42.1928,49.2601,55.0071,56.6321,57.2214,57.2686
0.001596,42.1899,49.2572,55.0043,56.6292,57.2185,57.2657
0.0016,42.187,49.2544,55.0014,56.6263,57.2157,57.2628
